block_id,txin_id,out_block_id
171,172,10
182,184,171
183,186,182
184,188,183
222,228,183
188,193,184
249,256,184
476,485,188
476,486,249
602,622,269
493,504,287
569,588,298
754,783,326
476,484,329
602,627,360
1274,1333,363
1153,1205,395
602,624,408
602,625,411
602,626,419
1274,1336,430
1053,1086,434
1053,1087,446
1104,1147,462
1053,1091,474
1053,1090,490
534,546,493
2608,2751,497
602,623,505
2608,2749,507
1153,1203,513
1053,1092,521
1104,1150,530
535,548,534
535,549,534
535,550,535
535,551,535
535,552,535
535,553,535
676,702,540
676,703,551
754,782,552
1153,1204,567
1104,1149,569
1546,1618,576
1053,1088,597
912,942,615
1053,1089,648
2608,2748,668
2608,2735,693
1104,1151,704
1104,1148,711
1182,1240,724
2608,2753,728
1274,1342,736
171,172,10
182,184,171
183,186,182
184,188,183
222,228,183
188,193,184
249,256,184
476,485,188
476,486,249
602,622,269
493,504,287
569,588,298
754,783,326
476,484,329
602,627,360
1274,1333,363
1153,1205,395
602,624,408
602,625,411
602,626,419
1274,1336,430
1053,1086,434
1053,1087,446
1104,1147,462
1053,1091,474
1053,1090,490
534,546,493
2608,2751,497
602,623,505
2608,2749,507
1153,1203,513
1053,1092,521
1104,1150,530
535,548,534
535,549,534
535,550,535
535,551,535
535,552,535
535,553,535
676,702,540
676,703,551
754,782,552
1153,1204,567
1104,1149,569
1546,1618,576
1053,1088,597
912,942,615
1053,1089,648
2608,2748,668
2608,2735,693
1104,1151,704
1104,1148,711
1182,1240,724
2608,2753,728
1274,1342,736
1914,2021,1359
1914,2019,1365
1914,2020,1366
1914,2018,1367
1914,2017,1368
1914,2015,1380
1737,1825,1386
2608,2736,1404
2608,2734,1442
1914,2005,1498
1914,2008,1561
1914,2009,1564
1914,2006,1571
2608,2750,1578
2608,2741,1598
1936,2047,1628
3297,3480,1643
3297,3484,1647
1914,2007,1659
1914,2010,1685
1914,2013,1702
1914,2014,1713
1936,2046,1737
1914,2022,1740
1914,2012,1772
1936,2045,1775
2253,2371,1805
3295,3473,1840
1914,2011,1874
2253,2370,1887
3295,3463,1907
3297,3485,1916
3295,3465,1936
2253,2368,1959
2253,2367,1963
3295,3474,1972
2253,2375,1973
3297,3483,1978
2253,2372,1984
3295,3462,2010
2253,2376,2015
2253,2369,2047
3295,3461,2054
3297,3481,2078
3295,3468,2083
2253,2374,2123
2253,2366,2147
2253,2373,2165
3295,3470,2175
2253,2365,2187
3678,3899,2204
3678,3874,2235
3295,3475,2267
3678,3870,2343
3295,3469,2351
3678,3900,2356
3678,3868,2365
3295,3460,2372
3678,3875,2409
2585,2710,2428
3678,3873,2448
2585,2709,2467
3295,3466,2469
3678,3877,2473
3678,3869,2477
3678,3872,2487
3678,3876,2488
3678,3901,2497
3678,3871,2502
3297,3479,2539
3678,3880,2590
2999,3163,2603
3295,3467,2608
3491,3680,2608
3678,3898,2624
3295,3464,2632
3678,3878,2647
3678,3879,2680
4454,4706,2685
3678,3882,2692
3295,3471,2697
3678,3903,2717
2899,3062,2723
3678,3902,2724
4454,4708,2732
3295,3472,2747
2849,2996,2767
3678,3904,2794
2849,2997,2849
2849,2998,2849
2849,2999,2849
2849,3000,2849
2850,3002,2849
3865,4099,2849
3865,4102,2849
2850,3003,2850
2850,3004,2850
2850,3005,2850
2850,3006,2850
2882,3039,2850
3678,3885,2878
2882,3040,2882
2882,3041,2882
2882,3042,2882
2882,3043,2882
3678,3884,2903
3678,3905,2925
3678,3883,2952
3678,3886,2976
3678,3891,2983
3678,3887,2988
3865,4108,2999
3678,3881,3017
3678,3888,3085
3678,3907,3132
3678,3889,3150
3678,3893,3200
3678,3906,3207
3678,3892,3232
3297,3482,3297
3678,3890,3305
3678,3908,3328
4454,4705,3330
3678,3910,3332
3865,4107,3343
3678,3911,3356
4510,4772,3369
4385,4634,3376
3865,4105,3381
3678,3894,3426
3678,3909,3443
3678,3895,3457
3865,4103,3461
4385,4633,3470
4454,4707,3485
3678,3896,3486
5817,6135,3507
4510,4773,3520
4901,5192,3532
3678,3897,3545
3865,4100,3564
3865,4104,3594
3865,4101,3645
3865,4106,3670
3905,4151,3775
3905,4150,3780
3905,4152,3784
4510,4795,3794
4456,4716,3802
4454,4704,3814
3905,4149,3821
4510,4796,3902
4510,4775,3903
4510,4781,3912
4510,4774,3971
4456,4711,4002
4510,4797,4008
4510,4783,4028
4510,4799,4043
4510,4777,4052
4456,4714,4084
4510,4776,4102
4510,4778,4166
4510,4780,4188
4510,4800,4190
4510,4791,4194
4510,4792,4195
4510,4782,4204
4510,4784,4215
4456,4715,4251
4510,4786,4266
4510,4785,4278
4510,4779,4294
4510,4787,4311
4510,4793,4322
4510,4788,4328
4510,4789,4332
4510,4794,4351
5189,5503,4356
4456,4713,4385
5187,5494,4422
4901,5206,4434
4901,5199,4451
4510,4790,4453
4456,4712,4454
4510,4798,4460
4901,5198,4463
5187,5498,4525
4901,5197,4526
4901,5196,4529
5187,5496,4540
4901,5195,4554
4901,5193,4558
5189,5502,4571
4901,5194,4575
5189,5505,4594
4901,5201,4599
4901,5200,4639
4901,5203,4680
4901,5202,4683
4901,5207,4731
4901,5204,4746
4901,5205,4773
5817,6139,4816
5817,6138,4817
6307,6676,4824
5817,6140,4855
6318,6711,4857
6307,6677,4867
5817,6141,4876
5817,6169,4931
5187,5495,4942
5817,6170,4947
5187,5497,4962
5817,6143,4967
5817,6144,4989
5817,6168,5001
5817,6145,5005
6126,6489,5092
5817,6163,5103
5817,6147,5122
6821,7245,5148
6126,6488,5150
5817,6151,5169
5817,6148,5180
5817,6146,5181
5817,6149,5183
5189,5501,5187
5189,5504,5187
5189,5506,5189
5817,6142,5189
5817,6165,5230
5817,6150,5237
5817,6164,5247
5817,6167,5272
5973,6331,5278
5817,6153,5281
11470,12115,5296
5973,6327,5330
5817,6152,5340
5973,6329,5344
5817,6154,5346
5973,6328,5356
6821,7248,5360
5817,6156,5371
5817,6157,5405
5817,6155,5428
5817,6160,5507
5817,6158,5509
5817,6161,5557
5817,6166,5577
5817,6162,5593
6126,6491,5634
5817,6159,5652
5973,6333,5664
5817,6136,5680
5817,6137,5683
5973,6332,5716
6431,6825,5732
6307,6681,5748
5973,6330,5769
6307,6678,5773
6307,6680,5784
6307,6679,5804
6126,6493,5878
6126,6494,5890
6307,6683,5912
6307,6685,5940
6307,6684,5951
6307,6688,5966
6307,6689,5977
6307,6686,5986
6126,6487,5987
6126,6490,6007
6307,6691,6013
6736,7143,6022
6736,7142,6034
6307,6687,6037
6736,7145,6051
6307,6693,6065
6126,6492,6086
6736,7141,6105
6307,6692,6106
6307,6694,6114
6307,6697,6132
6307,6699,6151
6307,6696,6157
6307,6698,6164
6431,6826,6175
6307,6682,6176
6307,6690,6187
6736,7140,6190
6307,6695,6196
6736,7151,6216
6431,6827,6223
6736,7150,6239
6431,6831,6244
6821,7242,6255
6736,7147,6267
6431,6830,6272
6431,6832,6284
6431,6828,6286
6431,6829,6299
6736,7149,6300
7743,8198,6314
19836,20917,6318
7743,8202,6339
6821,7244,6344
6736,7146,6349
6736,7148,6362
7743,8211,6366
7743,8203,6381
11571,12226,6382
7743,8207,6386
7743,8221,6413
11571,12241,6422
7743,8227,6439
6821,7246,6457
7743,8205,6459
11571,12242,6466
7743,8189,6476
7743,8233,6477
6736,7152,6481
11571,12239,6491
7743,8200,6518
7743,8229,6524
7743,8199,6527
6736,7154,6531
7743,8193,6536
6736,7153,6538
6736,7155,6541
