txin_id,tx_id,txin_pos,txout_id,txin_scriptSig,txin_sequence
1,1,0,,04ffff001d0104455468652054696d65732030332f4a616e2f32303039204368616e63656c6c6f72206f6e206272696e6b206f66207365636f6e64206261696c6f757420666f722062616e6b73,4294967295
2,2,0,,04ffff001d0104,4294967295
3,3,0,,04ffff001d010b,4294967295
4,4,0,,04ffff001d010e,4294967295
5,5,0,,04ffff001d011a,4294967295
6,6,0,,04ffff001d0120,4294967295
7,7,0,,04ffff001d0123,4294967295
8,8,0,,04ffff001d012b,4294967295
9,9,0,,04ffff001d012c,4294967295
10,10,0,,04ffff001d0134,4294967295
11,11,0,,04ffff001d0136,4294967295
12,12,0,,04ffff001d013b,4294967295
13,13,0,,04ffff001d010c,4294967295
14,14,0,,04ffff001d013c,4294967295
15,15,0,,04ffff001d013e,4294967295
16,16,0,,04ffff001d010a,4294967295
17,17,0,,04ffff001d010b,4294967295
18,18,0,,04ffff001d010d,4294967295
19,19,0,,04ffff001d0112,4294967295
20,20,0,,04ffff001d0116,4294967295
21,21,0,,04ffff001d0120,4294967295
22,22,0,,04ffff001d0125,4294967295
23,23,0,,04ffff001d0130,4294967295
24,24,0,,04ffff001d0131,4294967295
25,25,0,,04ffff001d013f,4294967295
26,26,0,,04ffff001d0141,4294967295
27,27,0,,04ffff001d0105,4294967295
28,28,0,,04ffff001d0110,4294967295
29,29,0,,04ffff001d0109,4294967295
30,30,0,,04ffff001d010d,4294967295
31,31,0,,04ffff001d0121,4294967295
32,32,0,,04ffff001d0129,4294967295
33,33,0,,04ffff001d0136,4294967295
34,34,0,,04ffff001d0138,4294967295
35,35,0,,04ffff001d0147,4294967295
36,36,0,,04ffff001d014d,4294967295
37,37,0,,04ffff001d0150,4294967295
38,38,0,,04ffff001d0157,4294967295
39,39,0,,04ffff001d0107,4294967295
40,40,0,,04ffff001d0109,4294967295
41,41,0,,04ffff001d010e,4294967295
42,42,0,,04ffff001d0112,4294967295
